device_id,address,date,speed
337,"Любінська, 4 Близенько 1.50 грн",2025-11-22,9.8
328,"Мазепи, 26 Близенько 2.00 грн",2025-11-22,24.5
198,"Малоголосківська, 16  Близенько 2.00 грн",2025-11-22,31.6
203,"Медової печери,  65  Близенько 1.50 грн",2025-11-22,31.5
60,"Мечнікова, 16е  Близенько  2.00 грн",2025-11-22,19.1
60,"Мечнікова, 16е  Близенько  2.00 грн",2025-11-23,17.7
188,"Миколайчука, 4а  Близенько 2.00 грн",2025-11-22,32.5
271,"Миру, 4в Близенько 1.50 грн",2025-11-22,45.4
120,"Мікльоша, 17  Близенько  1.50  грн",2025-11-22,13.2
120,"Мікльоша, 17  Близенько  1.50  грн",2025-11-23,12.9
61,"Наливайка,  20  Близенько  2.00 грн",2025-11-22,35.7
343,"Наукова, 10а Близенько 0.50 грн",2025-11-22,27.7
250,"Незалежності,148а Близенько 1.50 грн",2025-11-22,16.8
196,"Ніжинська, 16  Близенько  2.00 грн",2025-11-22,13.4
298,"Освицька, 1 Близенько 1.00 грн",2025-11-22,28.9
298,"Освицька, 1 Близенько 1.00 грн",2025-11-23,26.8
281,"Пасічна, 84а  Близенько 2.00 грн",2025-11-22,30.1
119,"Пекарська, 14  Близенько  2.00 грн",2025-11-22,33.9
208,"Петлюри, 2а  Кафе 2.00 грн",2025-11-22,25.9
182,"Повітряна, 78  Близенько 2.00 грн",2025-11-22,25.0
86,"просп. Свободи, 1/3 Близенько  2.00 грн",2025-11-22,35.5
218,"просп.В.Чорновола,  7а  Близенько  2.00 грн",2025-11-22,12.8
113,"просп.В.Чорновола, 101  Близенько 2.00 грн",2025-11-22,6.9
192,"просп.В.Чорновола, 67ж  Близенько 1.50 грн",2025-11-22,0.0
124,"просп.В.Чорновола, 69  Близенько 2.00 грн",2025-11-22,17.9
285,"Протасевича,6 Близенько  2.00 грн",2025-11-22,18.5
285,"Протасевича,6 Близенько  2.00 грн",2025-11-23,17.8
53,"Родини Крушельницьких, 1а  Близенько 2.00 грн",2025-11-22,50.6
204,"Роксоляни, 57  Близенько 2.00 грн",2025-11-22,14.5
276,"Рудненська,  8ж  Близенько 2.00 грн",2025-11-22,12.0
276,"Рудненська,  8ж  Близенько 2.00 грн",2025-11-23,15.7
296,"Садівнича, 27 Близенько 2.00 грн",2025-11-22,11.8
121,"Сахарова, 60 Близенько 2.00 грн",2025-11-22,37.0
12,"Січових Стрільців, 13 Близенько 2.00 грн",2025-11-22,27.7
257,"Січових Стрільців, 7 Близенько 1.20 грн",2025-11-22,46.3
228,"Сокільники, Весняна, 18 Близенько 1.50 грн",2025-11-22,0.8
228,"Сокільники, Весняна, 18 Близенько 1.50 грн",2025-11-23,9.1
217,"Сокільники, Героїв Майдану, 17в Близенько 2.00 грн",2025-11-22,13.8
217,"Сокільники, Героїв Майдану, 17в Близенько 2.00 грн",2025-11-23,19.7
341,"Сокільники, Збройних сил України, 2 1.50 грн",2025-11-22,24.8
316,"Стрийська, 108  ЖК Національний 1.50 грн",2025-11-22,7.9
265,"Стрийська, 115 Близенько 1.50 грн",2025-11-22,40.8
244,"Стрийська, 45в Близенько 1.50 грн",2025-11-22,17.7
56,"Тернопільська, 21 Близенько 1.50 грн",2025-11-22,0.0
174,"Тернопільська, 8 Близенько 2.00 грн",2025-11-22,27.8
122,"Тичини, 14 Близенько 2.00 грн",2025-11-22,31.6
200,"Трускавецька, 129 Близенько 2.00 грн",2025-11-22,14.6
155,"Угорська, 12 Близенько 1.50 грн",2025-11-22,16.1
176,"Федьковича, 38  Близенько 2.00 грн",2025-11-22,30.3
185,"Хмельницького, 76 Близенько 2.00 грн",2025-11-22,66.1
317,"Цегельского, 10  Близенько 2.00 грн",2025-11-22,29.6
104,"Шевченка, 111 Близенько 1.50 грн",2025-11-22,17.4
104,"Шевченка, 111 Близенько 1.50 грн",2025-11-23,14.6
177,"Шевченка, 80 Близенько  1.50 грн",2025-11-22,24.2
210,"Широка, 96а  Близенько 1.50 грн",2025-11-22,33.4
123,"Щурата, 9  Близенько 1.50 грн",2025-11-22,11.5
123,"Щурата, 9  Близенько 1.50 грн",2025-11-23,12.4
260,"Юнаківа,9б  Сім23 1.50 грн",2025-11-22,31.6
260,"Юнаківа,9б  Сім23 1.50 грн",2025-11-23,31.6
211,"Яворницького, 8  Близенько 2.00 грн",2025-11-22,38.9
