id,adress,dv2day,dv2week,dv2moun,dv1r,dv2r,dv3r
157,"Личаківська, 70а",,3,36,rabotaet,rabotaet,rabotaet
286,"Личаківська, 86",,,,rabotaet,nerabotaet,rabotaet
337,"Любінська, 4",,2,5,rabotaet,nerabotaet,rabotaet
328,"Мазепи, 26",,,,nerabotaet,nerabotaet,rabotaet
198,"Малоголосківська, 16",,,2,rabotaet,nerabotaet,rabotaet
287,"Марка Вовчка, 24",,2,28,rabotaet,nerabotaet,rabotaet
203,"Медової печери, 65",,,,nerabotaet,nerabotaet,rabotaet
60,"Мечнікова, 16е",4,5,6,rabotaet,rabotaet,rabotaet
188,"Миколайчука, 4а",,,,rabotaet,nerabotaet,rabotaet
120,"Мікльоша, 17",,,,rabotaet,nerabotaet,rabotaet
199,"Мундяк Марії, 8",,10,29,rabotaet,nerabotaet,nerabotaet
61,"Наливайка, 20",,2,14,rabotaet,nerabotaet,rabotaet
229,"Наукова, 59",,,,nerabotaet,nerabotaet,nerabotaet
343,"Наукова, 10а",,,,rabotaet,nerabotaet,rabotaet
245,"Наукова, 96",,,,rabotaet,nerabotaet,rabotaet
196,"Ніжинська, 16",6,11,30,nerabotaet,rabotaet,rabotaet
298,"Освицька, 1",,2,2,rabotaet,nerabotaet,rabotaet
59,"Очеретяна, 10",,,,rabotaet,nerabotaet,rabotaet
227,"Пасічна, 171",,,,rabotaet,nerabotaet,rabotaet
281,"Пасічна, 84а",,,1,rabotaet,nerabotaet,rabotaet
119,"Пекарська, 14",,,,rabotaet,nerabotaet,rabotaet
208,"Петлюри, 2а",,,,nerabotaet,nerabotaet,rabotaet
238,"Під Голоском, 24б",,,,rabotaet,nerabotaet,rabotaet
182,"Повітряна, 78",,,4,rabotaet,nerabotaet,rabotaet
86,"просп. Свободи, 1",,,8,rabotaet,nerabotaet,rabotaet
218,"просп.В.Чорновола, 7а",,,,rabotaet,nerabotaet,rabotaet
113,"просп.В.Чорновола, 101",4,4,5,rabotaet,rabotaet,rabotaet
264,"просп.В.Чорновола, 55",,,,rabotaet,nerabotaet,rabotaet
192,"просп.В.Чорновола, 67ж",,,,nerabotaet,nerabotaet,rabotaet
124,"просп.В.Чорновола, 69",,,,rabotaet,nerabotaet,rabotaet
314,"Пулюя, 29",,,,rabotaet,rabotaet,rabotaet
279,"Пулюя, 40",,1,6,rabotaet,nerabotaet,rabotaet
53,"Родини Крушельницьких, 1а",,,4,rabotaet,nerabotaet,rabotaet
204,"Роксоляни, 57",,,6,rabotaet,nerabotaet,rabotaet
276,"Рудненська, 8ж",2,8,12,rabotaet,rabotaet,rabotaet
296,"Садівнича, 27",,,,nerabotaet,nerabotaet,rabotaet
