id,adress,dv2day,dv2week,dv2moun,dv1r,dv2r,dv3r,dv6raz,dv6time,Sred,posl_znach,pokazat.skoros,TDS,TDSdata
280,"Зелена, 44",,,2,nerabotaet,nerabotaet,nerabotaet,0,,,,,29,2025-10-31
57,"Зимна Вода, 9",,,,nerabotaet,nerabotaet,rabotaet,0,,1.3,1.3,0.0,14,2025-10-25
209,"Золота, 25",,,8,rabotaet,nerabotaet,rabotaet,0,,25.8,25.8,0.0,35,2025-10-29
282,"Йосифа Сліпого, 22",,,6,rabotaet,nerabotaet,rabotaet,0,,27.8,28.1,-0.3,26,2025-10-31
242,"Караджича, 29б",,,,rabotaet,nerabotaet,rabotaet,0,,,,,18,2025-10-27
175,"Кн.Ольги, 100к",4,5,8,rabotaet,rabotaet,rabotaet,0,,29.1,29.1,0.0,6,2025-10-27
224,"Кн.Ольги, 98л",,,,rabotaet,nerabotaet,rabotaet,0,,11.6,11.6,0.0,6,2025-10-27
239,"Князя Романа, 9",,,39,rabotaet,rabotaet,rabotaet,1,,54.8,54.8,0.0,2,2025-11-11
293,"Коновальця, 50",,,,nerabotaet,nerabotaet,rabotaet,0,,21.3,21.3,0.0,11,2025-11-03
301,"Коперніка, 56",,,,rabotaet,nerabotaet,rabotaet,0,,,,,19,2025-11-03
230,"Котика, 9",,,,rabotaet,nerabotaet,rabotaet,0,,,,,4,2025-11-09
197,"Кропивницького, 7",,,,rabotaet,nerabotaet,rabotaet,0,,,,,22,2025-10-29
336,"Кубійовича, 31",,,,rabotaet,nerabotaet,rabotaet,0,,57.8,57.8,0.0,21,2025-11-01
184,"Кульпарківська, 135",,,,rabotaet,nerabotaet,rabotaet,0,,24.4,24.4,0.0,5,2025-10-28
213,"Кульпарківська, 145",,,,nerabotaet,nerabotaet,rabotaet,0,,,,,24,2025-10-30
306,"Кульпарківська, 172",,,,rabotaet,nerabotaet,rabotaet,0,,9.9,9.9,0.0,28,2025-10-28
109,"Кульпарківська, 230",,,,rabotaet,nerabotaet,rabotaet,0,,37.4,37.4,0.0,10,2025-10-25
294,"Кульпарківська, 59",,,,nerabotaet,nerabotaet,rabotaet,0,,16.1,16.1,0.0,Нет данных,Нет данных
187,"Кульпарківська, 93",,,,rabotaet,nerabotaet,rabotaet,0,,15.7,15.7,0.0,10,2025-09-26
335,"Лазаренка, 1",,3,3,nerabotaet,nerabotaet,rabotaet,0,,4.5,8.1,-3.6,6,2025-11-01
292,"Лапаївка, 17",,,2,rabotaet,rabotaet,rabotaet,0,,18.6,18.6,0.0,7,2025-10-25
85,"Левицького, 106",,,,rabotaet,nerabotaet,rabotaet,0,,41.4,42.2,-0.8,15,2025-10-31
54,"Левицького, 43а",,,,rabotaet,nerabotaet,rabotaet,0,,27.0,27.0,0.0,16,2025-11-01
233,"Липинського, 29",,,,nerabotaet,nerabotaet,rabotaet,0,,,,,5,2025-10-26
232,"Липова алея, 1",,3,3,nerabotaet,nerabotaet,nerabotaet,0,,,,,16,2025-10-29
235,"Лисеницька, 9",,,,rabotaet,nerabotaet,rabotaet,0,,,,,18,2025-10-31
231,"Лисиничі, 5",,,,rabotaet,rabotaet,rabotaet,0,,6.1,6.1,0.0,3,2025-11-22
186,"Личаківська, 163",,,,nerabotaet,nerabotaet,rabotaet,0,,37.6,37.6,0.0,4,2025-10-26
193,"Личаківська, 4",,,,rabotaet,nerabotaet,rabotaet,0,,36.3,36.3,0.0,12,2025-11-13
157,"Личаківська, 70а",,3,36,rabotaet,rabotaet,rabotaet,0,,7.7,7.7,0.0,4,2025-11-11
286,"Личаківська, 86",,,,rabotaet,nerabotaet,rabotaet,0,,16.2,16.2,0.0,5,2025-10-26
337,"Любінська, 4",,2,5,rabotaet,nerabotaet,rabotaet,0,,9.8,9.8,0.0,12,2025-06-02
328,"Мазепи, 26",,,,nerabotaet,nerabotaet,rabotaet,0,,24.5,24.5,0.0,6,2025-10-13
198,"Малоголосківська, 16",,,2,rabotaet,nerabotaet,rabotaet,0,,31.6,31.6,0.0,8,2025-11-15
287,"Марка Вовчка, 24",,2,28,rabotaet,nerabotaet,rabotaet,0,,,,,50,2025-10-31
203,"Медової печери, 65",,,,nerabotaet,nerabotaet,rabotaet,0,,31.5,31.5,0.0,18,2025-10-30
60,"Мечнікова, 16е",4,5,6,rabotaet,rabotaet,rabotaet,0,,18.4,17.7,0.7,13,2025-10-31
188,"Миколайчука, 4а",,,,rabotaet,nerabotaet,rabotaet,0,,32.5,32.5,0.0,6,2025-10-27
120,"Мікльоша, 17",,,,rabotaet,nerabotaet,rabotaet,0,,13.05,12.9,0.15,5,2025-11-03
199,"Мундяк Марії, 8",,10,29,rabotaet,nerabotaet,nerabotaet,0,,,,,5,2025-05-29
61,"Наливайка, 20",,2,14,rabotaet,nerabotaet,rabotaet,0,,35.7,35.7,0.0,3,2025-10-25
229,"Наукова, 59",,,,nerabotaet,nerabotaet,nerabotaet,0,,,,,Нет данных,Нет данных
