id,name,lat,lon
306,"Кульпарківська, 172  Близенько 2,00 грн",,
109,"Кульпарківська, 230  Близенько 2.00 грн",49.80404,23.97945
294,"Кульпарківська, 59  Близенько 2.00 грн",,
187,"Кульпарківська, 93 Близенько 2.00 грн",0,0
58,"Куровця,36 Рукавичка 1.50 грн",23.67889,65.57788
335,"Лазаренка, 1 Близенько 1.50 грн",,
292,"Лапаївка, Геофізиків, 17  Близенько 2.00 грн",,
85,"Левицького, 106  Penkermarket 2.00 грн",49.83102,24.04668
54,"Левицького, 43а  Кишенька 2.00 грн",49.83384,24.04138
304,"Ленкавського, 34 Близенько 1.00 грн",,
289,"Лепкого, 7 Близенько 1.50 грн",49.56003,25.63448
233,"Липинського, 29  Близенько 2.00 грн",49.86439,24.03532
232,"Липова алея, 1  Близенько 1.50 грн",49.82039,24.05526
235,"Лисеницька,  9 Близенько  2.00 грн",49.81676,24.08191
231,"Лисиничі, Шухевича, 5 Близенько 2.00 грн",49.84391,24.10125
186,"Личаківська, 163  Близенько 2.00 грн",49.8372,24.06186
193,"Личаківська, 4/6  Близенько 2.00 грн",49.83968,24.03805
157,"Личаківська, 70а  Близенько 2.00 грн",49.83945,24.0507
286,"Личаківська, 86  Близенько 2.00 грн",49.83814,24.05587
105,"Лінкольна,53 Чарка  до свята 1.50 грн",49.86715,24.04249
337,"Любінська, 4 Близенько 1.50 грн",49.83357,23.99044
223,"Мазепи ,177 Близенько 1.20 грн",23.67889,65.57788
328,"Мазепи, 26 Близенько 2.00 грн",49.87176,24.04182
198,"Малоголосківська, 16  Близенько 2.00 грн",49.86613,24.0057
287,"Марка Вовчка,  24  Чарка  2.00 грн",49.84084,24.0066
203,"Медової печери,  65  Близенько 1.50 грн",49.82341,24.08463
60,"Мечнікова, 16е  Близенько  2.00 грн",49.83257,24.04776
188,"Миколайчука, 4а  Близенько 2.00 грн",49.87379,24.04272
271,"Миру, 4в Близенько 1.50 грн",49.54636,25.57442
120,"Мікльоша, 17  Близенько  1.50  грн",49.78447,24.01884
199,"Мундяк Марії,  8  Близенько 2.00 грн",49.84852,23.96808
61,"Наливайка,  20  Близенько  2.00 грн",49.8433,24.02353
229,"Наукова,  59  Близенько  1.50 грн",49.8049,23.98403
343,"Наукова, 10а Близенько 0.50 грн",49.80652,24.0042
245,"Наукова, 96  Близенько 1.50 грн",49.80532,23.98878
237,"Незалежності, 99 Близенько 1.50 грн",23.67889,65.57788
250,"Незалежності,148а Близенько 1.50 грн",,
196,"Ніжинська, 16  Близенько  2.00 грн",49.84035,24.05407
298,"Освицька, 1 Близенько 1.00 грн",,
59,"Очеретяна, 10  Близенько 1.50 грн",49.87716,24.04331
227,"Пасічна, 171  Близенько 1.50 грн",49.80437,24.07247
281,"Пасічна, 84а  Близенько 2.00 грн",49.8233,24.07477
119,"Пекарська, 14  Близенько  2.00 грн",49.83785,24.0371
191,"Петлюри, 1 Близенько 2.00 грн",48.90368,24.69805
208,"Петлюри, 2а  Кафе 2.00 грн",49.82177,23.97933
238,"Під Голоском,  24б   Близенько 1.50 грн",49.87132,24.0079
283,"Під Дубом,17  2.00 грн",,
182,"Повітряна, 78  Близенько 2.00 грн",49.86476,24.02896
86,"просп. Свободи, 1/3 Близенько  2.00 грн",49.83931,24.02817
218,"просп.В.Чорновола,  7а  Близенько  2.00 грн",49.84543,24.02494
113,"просп.В.Чорновола, 101  Близенько 2.00 грн",49.86584,24.01528
264,"просп.В.Чорновола, 55  Близенько 2.00 грн",49.85499,24.01993
