device_id,address,date,card_id,sum,banknotes,coins,descr
306,"Кульпарківська, 172  Близенько 2,00 грн",2025-10-28 20:45:15,24662,0.00,0.00,840.50,Р”РјРёС‚СЂРѕ  - 
109,"Кульпарківська, 230  Близенько 2.00 грн",2025-10-25 18:51:12,0,0.00,2796.00,0.00,
109,"Кульпарківська, 230  Близенько 2.00 грн",2025-10-25 18:51:17,0,0.00,0.00,51.06,
294,"Кульпарківська, 59  Близенько 2.00 грн",2025-10-27 16:40:51,24662,0.00,972.00,0.00,Р”РјРёС‚СЂРѕ  - 
294,"Кульпарківська, 59  Близенько 2.00 грн",2025-10-27 16:41:01,24662,0.00,0.00,1131.00,Р”РјРёС‚СЂРѕ  - 
187,"Кульпарківська, 93 Близенько 2.00 грн",2025-10-28 21:08:53,24662,0.00,2563.00,0.00,Р”РјРёС‚СЂРѕ  - 
187,"Кульпарківська, 93 Близенько 2.00 грн",2025-10-28 21:09:09,24662,0.00,0.00,2327.00,Р”РјРёС‚СЂРѕ  - 
335,"Лазаренка, 1 Близенько 1.50 грн",2025-11-01 14:11:11,0,0.00,1227.00,0.00,
335,"Лазаренка, 1 Близенько 1.50 грн",2025-11-01 14:11:15,0,0.00,0.00,321.78,
292,"Лапаївка, Геофізиків, 17  Близенько 2.00 грн",2025-10-25 12:39:53,14147,0.00,4003.00,0.00,Р СѓСЃР»Р°РЅ  - 
292,"Лапаївка, Геофізиків, 17  Близенько 2.00 грн",2025-10-25 12:40:01,14147,0.00,0.00,3001.50,Р СѓСЃР»Р°РЅ  - 
85,"Левицького, 106  Penkermarket 2.00 грн",2025-10-31 13:45:43,14147,0.00,5709.00,0.00,Р СѓСЃР»Р°РЅ  - 
85,"Левицького, 106  Penkermarket 2.00 грн",2025-10-31 13:45:50,14147,0.00,0.00,4341.50,Р СѓСЃР»Р°РЅ  - 
54,"Левицького, 43а  Кишенька 2.00 грн",2025-11-01 18:26:45,14147,0.00,7537.00,0.00,Р СѓСЃР»Р°РЅ  - 
54,"Левицького, 43а  Кишенька 2.00 грн",2025-11-01 18:26:53,14147,0.00,0.00,5760.00,Р СѓСЃР»Р°РЅ  - 
233,"Липинського, 29  Близенько 2.00 грн",2025-10-26 19:43:29,23129,0.00,2206.00,0.00,Р†РіРѕСЂ  - 
233,"Липинського, 29  Близенько 2.00 грн",2025-10-26 19:43:36,23129,0.00,0.00,2508.00,Р†РіРѕСЂ  - 
232,"Липова алея, 1  Близенько 1.50 грн",2025-10-29 15:47:36,14147,0.00,574.00,0.00,Р СѓСЃР»Р°РЅ  - 
232,"Липова алея, 1  Близенько 1.50 грн",2025-10-29 15:47:48,14147,0.00,0.00,2632.00,Р СѓСЃР»Р°РЅ  - 
235,"Лисеницька,  9 Близенько  2.00 грн",2025-10-31 16:52:07,14147,0.00,1547.00,0.00,Р СѓСЃР»Р°РЅ  - 
235,"Лисеницька,  9 Близенько  2.00 грн",2025-10-31 16:52:18,14147,0.00,0.00,806.50,Р СѓСЃР»Р°РЅ  - 
231,"Лисиничі, Шухевича, 5 Близенько 2.00 грн",2025-10-28 15:48:55,23129,0.00,21305.00,0.00,Р†РіРѕСЂ  - 
231,"Лисиничі, Шухевича, 5 Близенько 2.00 грн",2025-11-22 15:42:02,23129,0.00,21268.00,0.00,Р†РіРѕСЂ  - 
186,"Личаківська, 163  Близенько 2.00 грн",2025-10-26 18:56:25,23129,0.00,1410.00,0.00,Р†РіРѕСЂ  - 
186,"Личаківська, 163  Близенько 2.00 грн",2025-10-26 18:56:32,23129,0.00,0.00,3659.50,Р†РіРѕСЂ  - 
193,"Личаківська, 4/6  Близенько 2.00 грн",2025-11-13 19:55:21,23129,0.00,5191.00,0.00,Р†РіРѕСЂ  - 
193,"Личаківська, 4/6  Близенько 2.00 грн",2025-11-13 19:55:29,23129,0.00,0.00,4978.00,Р†РіРѕСЂ  - 
157,"Личаківська, 70а  Близенько 2.00 грн",2025-10-25 19:00:24,23129,0.00,3232.00,0.00,Р†РіРѕСЂ  - 
157,"Личаківська, 70а  Близенько 2.00 грн",2025-10-25 19:00:29,23129,0.00,0.00,2780.50,Р†РіРѕСЂ  - 
157,"Личаківська, 70а  Близенько 2.00 грн",2025-11-05 16:37:04,23129,0.00,2553.00,0.00,Р†РіРѕСЂ  - 
157,"Личаківська, 70а  Близенько 2.00 грн",2025-11-05 16:37:08,23129,0.00,0.00,2969.50,Р†РіРѕСЂ  - 
157,"Личаківська, 70а  Близенько 2.00 грн",2025-11-11 20:54:48,23129,0.00,1191.00,0.00,Р†РіРѕСЂ  - 
157,"Личаківська, 70а  Близенько 2.00 грн",2025-11-11 20:54:52,23129,0.00,0.00,1431.00,Р†РіРѕСЂ  - 
286,"Личаківська, 86  Близенько 2.00 грн",2025-10-26 18:25:24,23129,0.00,1677.00,0.00,Р†РіРѕСЂ  - 
286,"Личаківська, 86  Близенько 2.00 грн",2025-10-26 18:25:35,23129,0.00,0.00,1926.00,Р†РіРѕСЂ  - 
337,"Любінська, 4 Близенько 1.50 грн",2025-10-29 19:13:41,24662,0.00,5889.00,0.00,Р”РјРёС‚СЂРѕ  - 
328,"Мазепи, 26 Близенько 2.00 грн",2025-11-02 13:26:07,3051,0.00,637.00,0.00,  - 
328,"Мазепи, 26 Близенько 2.00 грн",2025-11-02 13:26:13,3051,0.00,0.00,1412.00,  - 
198,"Малоголосківська, 16  Близенько 2.00 грн",2025-10-26 20:06:09,23129,0.00,3527.00,0.00,Р†РіРѕСЂ  - 
198,"Малоголосківська, 16  Близенько 2.00 грн",2025-10-26 20:06:15,23129,0.00,0.00,3670.50,Р†РіРѕСЂ  - 
198,"Малоголосківська, 16  Близенько 2.00 грн",2025-11-15 16:54:56,23129,0.00,2287.00,0.00,Р†РіРѕСЂ  - 
198,"Малоголосківська, 16  Близенько 2.00 грн",2025-11-15 16:55:02,23129,0.00,0.00,2992.50,Р†РіРѕСЂ  - 
287,"Марка Вовчка,  24  Чарка  2.00 грн",2025-10-31 10:21:29,24662,0.00,2451.00,0.00,Р”РјРёС‚СЂРѕ  - 
287,"Марка Вовчка,  24  Чарка  2.00 грн",2025-10-31 10:21:48,24662,0.00,0.00,4464.50,Р”РјРёС‚СЂРѕ  - 
287,"Марка Вовчка,  24  Чарка  2.00 грн",2025-10-31 10:21:57,24662,0.00,0.00,0.00,Р”РјРёС‚СЂРѕ  - 
203,"Медової печери,  65  Близенько 1.50 грн",2025-10-30 11:41:18,14147,0.00,3300.00,0.00,Р СѓСЃР»Р°РЅ  - 
203,"Медової печери,  65  Близенько 1.50 грн",2025-10-30 11:41:24,14147,0.00,0.00,3570.00,Р СѓСЃР»Р°РЅ  - 
60,"Мечнікова, 16е  Близенько  2.00 грн",2025-10-31 14:11:25,14147,0.00,6024.00,0.00,Р СѓСЃР»Р°РЅ  - 
60,"Мечнікова, 16е  Близенько  2.00 грн",2025-10-31 14:11:33,14147,0.00,0.00,4210.50,Р СѓСЃР»Р°РЅ  - 
188,"Миколайчука, 4а  Близенько 2.00 грн",2025-10-27 16:29:40,3051,0.00,2468.00,0.00,  - 
188,"Миколайчука, 4а  Близенько 2.00 грн",2025-10-27 16:29:45,3051,0.00,0.00,3017.00,  - 
120,"Мікльоша, 17  Близенько  1.50  грн",2025-11-03 10:10:49,24662,0.00,391.00,0.00,Р”РјРёС‚СЂРѕ  - 
120,"Мікльоша, 17  Близенько  1.50  грн",2025-11-03 10:11:05,24662,0.00,0.00,963.50,Р”РјРёС‚СЂРѕ  - 
199,"Мундяк Марії,  8  Близенько 2.00 грн",2025-10-31 17:58:28,0,0.00,0.00,0.00,
199,"Мундяк Марії,  8  Близенько 2.00 грн",2025-10-31 18:00:04,0,0.00,0.00,1.00,
199,"Мундяк Марії,  8  Близенько 2.00 грн",2025-10-31 18:00:05,0,0.00,0.00,0.00,
61,"Наливайка,  20  Близенько  2.00 грн",2025-10-25 20:26:43,23129,0.00,1301.00,0.00,Р†РіРѕСЂ  - 
61,"Наливайка,  20  Близенько  2.00 грн",2025-10-25 20:26:50,23129,0.00,0.00,2174.00,Р†РіРѕСЂ  - 
229,"Наукова,  59  Близенько  1.50 грн",2025-10-30 21:15:10,0,0.00,0.00,0.00,
229,"Наукова,  59  Близенько  1.50 грн",2025-10-30 21:15:26,0,0.00,0.00,0.00,
343,"Наукова, 10а Близенько 0.50 грн",2025-10-27 11:39:10,24662,0.00,0.00,880.50,Р”РјРёС‚СЂРѕ  - 
343,"Наукова, 10а Близенько 0.50 грн",2025-10-27 11:39:20,24662,0.00,801.00,0.00,Р”РјРёС‚СЂРѕ  - 
245,"Наукова, 96  Близенько 1.50 грн",2025-10-20 09:13:36,24662,0.00,1310.00,0.00,Р”РјРёС‚СЂРѕ  - 
245,"Наукова, 96  Близенько 1.50 грн",2025-10-20 09:13:43,24662,0.00,0.00,1472.50,Р”РјРёС‚СЂРѕ  - 
