device_id,address,date,card_id,sum,banknotes,coins,descr,tech
319,"Тракт Глинянський, 163 Сімі 1.50 грн",2025-10-28 15:30:26,23129,0.0,798.0,0.0,igor,igor
319,"Тракт Глинянський, 163 Сімі 1.50 грн",2025-10-28 15:30:31,23129,0.0,0.0,1193.0,igor,igor
319,"Тракт Глинянський, 163 Сімі 1.50 грн",2025-11-22 16:37:45,23129,0.0,1045.0,0.0,igor,igor
319,"Тракт Глинянський, 163 Сімі 1.50 грн",2025-11-22 16:37:50,23129,0.0,0.0,1265.5,igor,igor
200,"Трускавецька, 129 Близенько 2.00 грн",2025-10-27 17:02:16,14147,0.0,1924.0,0.0,ruslan,ruslan
200,"Трускавецька, 129 Близенько 2.00 грн",2025-10-27 17:02:22,14147,0.0,0.0,2818.0,ruslan,ruslan
155,"Угорська, 12 Близенько 1.50 грн",2025-10-29 13:28:57,14147,0.0,1434.0,0.0,ruslan,ruslan
155,"Угорська, 12 Близенько 1.50 грн",2025-10-29 13:29:16,14147,0.0,0.0,806.0,ruslan,ruslan
206,"Угорська, 14б Близенько 2.00 грн",2025-10-29 14:01:16,14147,0.0,474.0,0.0,ruslan,ruslan
206,"Угорська, 14б Близенько 2.00 грн",2025-10-29 14:01:24,14147,0.0,0.0,1156.5,ruslan,ruslan
321,"Федьковича, 24 Близенько 1.50 грн",2025-10-29 21:19:48,0,0.0,42.0,0.0,dmutro,dmutro
321,"Федьковича, 24 Близенько 1.50 грн",2025-10-29 21:20:15,0,0.0,0.0,80.0,dmutro,dmutro
321,"Федьковича, 24 Близенько 1.50 грн",2025-10-29 21:20:19,0,0.0,0.0,0.0,dmutro,dmutro
176,"Федьковича, 38  Близенько 2.00 грн",2025-10-29 21:31:25,24662,0.0,2622.0,0.0,dmutro,dmutro
176,"Федьковича, 38  Близенько 2.00 грн",2025-10-29 21:31:31,24662,0.0,0.0,1823.0,dmutro,dmutro
112,"Франка, 69  Близенько 2.00 грн",2025-10-24 12:48:10,9576,0.0,0.0,2030.0,igor,igor
112,"Франка, 69  Близенько 2.00 грн",2025-10-24 12:48:19,9576,0.0,1772.0,0.0,igor,igor
246,"Хмельницького, 257 Близенько 2.00 грн",2025-11-08 19:50:45,23129,0.0,3482.0,0.0,igor,igor
246,"Хмельницького, 257 Близенько 2.00 грн",2025-11-08 19:50:50,23129,0.0,0.0,2977.0,igor,igor
185,"Хмельницького, 76 Близенько 2.00 грн",2025-10-25 21:29:58,23129,0.0,1687.0,0.0,igor,igor
185,"Хмельницького, 76 Близенько 2.00 грн",2025-10-25 21:30:04,23129,0.0,0.0,2849.5,igor,igor
185,"Хмельницького, 76 Близенько 2.00 грн",2025-11-08 17:18:56,23129,0.0,1732.0,0.0,igor,igor
185,"Хмельницького, 76 Близенько 2.00 грн",2025-11-08 17:19:00,23129,0.0,0.0,2765.5,igor,igor
256,"Художня, 4  Близенько 2.00 грн",2025-10-31 12:58:48,24662,0.0,653.0,0.0,dmutro,dmutro
256,"Художня, 4  Близенько 2.00 грн",2025-10-31 12:58:55,24662,0.0,0.0,1013.5,dmutro,dmutro
317,"Цегельского, 10  Близенько 2.00 грн",2025-10-27 10:23:17,24662,0.0,1007.0,0.0,dmutro,dmutro
317,"Цегельского, 10  Близенько 2.00 грн",2025-10-27 10:23:24,24662,0.0,0.0,1079.5,dmutro,dmutro
278,"Чупринки, 84  Близенько  2.00 грн",2025-10-28 08:12:15,24662,0.0,2722.0,0.0,dmutro,dmutro
278,"Чупринки, 84  Близенько  2.00 грн",2025-10-28 08:12:23,24662,0.0,0.0,2868.5,dmutro,dmutro
104,"Шевченка, 111 Близенько 1.50 грн",2025-10-24 16:58:03,0,0.0,43.0,0.0,ruslan,ruslan
104,"Шевченка, 111 Близенько 1.50 грн",2025-10-24 16:58:13,0,0.0,0.0,0.0,ruslan,ruslan
247,"Шевченка, 31б  Близенько 2.00 грн",2025-10-29 12:31:07,24662,0.0,2796.0,0.0,dmutro,dmutro
247,"Шевченка, 31б  Близенько 2.00 грн",2025-10-29 12:31:15,24662,0.0,0.0,3853.0,dmutro,dmutro
