device_id,address,date,name,state,sens_val,descr
222,"Бельведерська, 61 Близенько 1.20 грн",2025-11-20 22:18:08,dv7,off,950,верхній давач в баці переливу
222,"Бельведерська, 61 Близенько 1.20 грн",2025-11-20 22:18:08,dv8,off,950,піддон
297,"Біберовича, 11 Близенько 1.50 грн",2025-11-20 21:16:17,dv1,on,60,наявність води на вході
297,"Біберовича, 11 Близенько 1.50 грн",2025-11-20 21:15:54,dv2,on,60,нижній рівень води в накопичувальному баці
297,"Біберовича, 11 Близенько 1.50 грн",2025-11-22 16:17:14,dv3,on,60,верхній рівень води в накопичувальному баці
297,"Біберовича, 11 Близенько 1.50 грн",2025-11-20 21:15:54,dv4,on,60,Тиск-дренаж1
297,"Біберовича, 11 Близенько 1.50 грн",2025-11-20 21:15:54,dv5,on,60,нижній давач в баці переливу
297,"Біберовича, 11 Близенько 1.50 грн",2025-11-20 21:15:54,dv6,off,950,нижній давач в баці переливу
297,"Біберовича, 11 Близенько 1.50 грн",2025-11-20 21:15:54,dv7,off,950,верхній давач в баці переливу
297,"Біберовича, 11 Близенько 1.50 грн",2025-11-20 21:15:54,dv8,off,950,піддон
272,"Білогірська, 3 Близенько 1.50 грн",2025-11-19 21:58:58,dv1,off,950,наявність води на вході
272,"Білогірська, 3 Близенько 1.50 грн",2025-11-19 21:58:58,dv2,on,60,нижній рівень води в накопичувальному баці
272,"Білогірська, 3 Близенько 1.50 грн",2025-11-19 21:58:58,dv3,on,60,верхній рівень води в накопичувальному баці
272,"Білогірська, 3 Близенько 1.50 грн",2025-11-19 21:58:58,dv4,on,950,Тиск-дренаж1
272,"Білогірська, 3 Близенько 1.50 грн",2025-11-19 21:58:58,dv5,off,950,нижній давач в баці переливу
272,"Білогірська, 3 Близенько 1.50 грн",2025-11-19 21:58:58,dv6,off,950,нижній давач в баці переливу
272,"Білогірська, 3 Близенько 1.50 грн",2025-11-19 21:58:58,dv7,off,950,верхній давач в баці переливу
272,"Білогірська, 3 Близенько 1.50 грн",2025-11-19 21:58:58,dv8,off,950,піддон
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-11-23 09:33:18,dv1,off,950,наявність води на вході
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-11-22 19:48:11,dv2,on,60,нижній рівень води в накопичувальному баці
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-11-23 09:27:51,dv3,on,60,верхній рівень води в накопичувальному баці
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-11-22 19:48:11,dv4,on,950,Тиск-дренаж1
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-11-22 19:48:11,dv5,off,950,нижній давач в баці переливу
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-11-22 21:23:14,dv6,off,950,нижній давач в баці переливу
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-11-22 19:48:11,dv7,off,950,верхній давач в баці переливу
190,"Братів Міхновських,  23  Близенько 2.00 грн",2025-11-22 19:48:11,dv8,off,950,піддон
236,"Брюховицька, 143 Близенько 2.00 грн",2025-11-23 09:19:08,dv1,on,60,наявність води на вході
236,"Брюховицька, 143 Близенько 2.00 грн",2025-11-20 21:19:31,dv2,on,60,нижній рівень води в накопичувальному баці
236,"Брюховицька, 143 Близенько 2.00 грн",2025-11-23 09:18:55,dv3,off,950,верхній рівень води в накопичувальному баці
236,"Брюховицька, 143 Близенько 2.00 грн",2025-11-20 21:19:31,dv4,on,60,Тиск-дренаж1
236,"Брюховицька, 143 Близенько 2.00 грн",2025-11-20 21:19:31,dv5,on,60,нижній давач в баці переливу
236,"Брюховицька, 143 Близенько 2.00 грн",2025-11-20 21:19:31,dv6,off,950,нижній давач в баці переливу
236,"Брюховицька, 143 Близенько 2.00 грн",2025-11-20 21:19:31,dv7,off,950,верхній давач в баці переливу
236,"Брюховицька, 143 Близенько 2.00 грн",2025-11-20 21:19:31,dv8,off,950,піддон
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-11-20 21:13:02,dv1,off,950,наявність води на вході
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-11-22 18:52:04,dv2,on,60,нижній рівень води в накопичувальному баці
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-11-20 21:13:02,dv3,off,950,верхній рівень води в накопичувальному баці
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-11-20 21:13:02,dv4,on,950,Тиск-дренаж1
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-11-20 21:13:02,dv5,off,950,нижній давач в баці переливу
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-11-23 09:20:03,dv6,off,950,нижній давач в баці переливу
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-11-20 21:13:02,dv7,off,950,верхній давач в баці переливу
156,"Брюховичі Івасюка, 1 Близенько 2.00 грн",2025-11-20 21:13:02,dv8,off,950,піддон
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-11-22 21:59:34,dv1,off,950,наявність води на вході
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-11-20 21:19:58,dv2,on,60,нижній рівень води в накопичувальному баці
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-11-23 09:32:08,dv3,off,950,верхній рівень води в накопичувальному баці
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-11-20 21:19:58,dv4,on,950,Тиск-дренаж1
243,"Брюховичі Львівська, 92 Близенько 2.00 грн",2025-11-20 21:19:58,dv5,off,950,нижній давач в баці переливу
