device_id,address,card_id,sum,banknotes,coins,descr,date
231,"Лисиничі, Шухевича, 5 Близенько 2.00 грн",23129,0.00,21268.00,0.00,Р†РіРѕСЂ  - ,2025-11-22 15:42:02
319,"Тракт Глинянський, 163 Сімі 1.50 грн",23129,0.00,1045.00,0.00,Р†РіРѕСЂ  - ,2025-11-22 16:37:45
319,"Тракт Глинянський, 163 Сімі 1.50 грн",23129,0.00,0.00,1265.50,Р†РіРѕСЂ  - ,2025-11-22 16:37:50
